Date,Year,Species,Length [mm],Weight [g],Run_No,Section ,Mesohabitat,Lower/Upper site,Stretch length [m],Stretch width [m],Discharge [m³/s],VIT new,VIT recatch,PIT-Tag new,PIT-Tag recatch,Comment
25-09-18,2018,Onchorhynchus mykiss,187,67.8,1,Hinterleiten,Riffle,Lower,76,16.5,2.7,,,1.26E+11,,
25-09-18,2018,Onchorhynchus mykiss,205,88.6,1,Hinterleiten,Riffle,Lower,76,16.5,2.7,,,1.26E+11,,
25-09-18,2018,Onchorhynchus mykiss,275,208.1,1,Hinterleiten,Riffle,Lower,76,16.5,2.7,,,1.26E+11,,
25-09-18,2018,Salmo trutta,247,150,1,Hinterleiten,Riffle,Lower,76,16.5,2.7,,,1.26E+11,,
25-09-18,2018,Salmo trutta,186,65,1,Hinterleiten,Riffle,Lower,76,16.5,2.7,,,1.26E+11,,
25-09-18,2018,Salmo trutta,276,208,1,Hinterleiten,Riffle,Lower,76,16.5,2.7,,,1.26E+11,,
25-09-18,2018,Salmo trutta,202,83,1,Hinterleiten,Riffle,Lower,76,16.5,2.7,,,1.26E+11,,
25-09-18,2018,Salmo trutta,201,82,1,Hinterleiten,Riffle,Lower,76,16.5,2.7,,,1.26E+11,,
25-09-18,2018,Salmo trutta,200,81,1,Hinterleiten,Riffle,Lower,76,16.5,2.7,,,1.26E+11,,
25-09-18,2018,Salmo trutta,253,161,1,Hinterleiten,Riffle,Lower,76,16.5,2.7,,,1.26E+11,,
25-09-18,2018,Salmo trutta,155,38,1,Hinterleiten,Riffle,Lower,76,16.5,2.7,,,1.26E+11,,
25-09-18,2018,Salmo trutta,166,47,1,Hinterleiten,Riffle,Lower,76,16.5,2.7,,,No Tag,,
25-09-18,2018,Salmo trutta,110,14,1,Hinterleiten,Riffle,Lower,76,16.5,2.7,,,,,
25-09-18,2018,Salmo trutta,90,8,1,Hinterleiten,Riffle,Lower,76,16.5,2.7,,,,,
25-09-18,2018,Salmo trutta,101,11,1,Hinterleiten,Riffle,Lower,76,16.5,2.7,,,,,
25-09-18,2018,Salmo trutta,100,11,1,Hinterleiten,Riffle,Lower,76,16.5,2.7,,,,,
25-09-18,2018,Salmo trutta,98,10,1,Hinterleiten,Riffle,Lower,76,16.5,2.7,,,,,
25-09-18,2018,Salmo trutta,70,4,1,Hinterleiten,Riffle,Lower,76,16.5,2.7,,,,,
25-09-18,2018,Salmo trutta,90,8,1,Hinterleiten,Riffle,Lower,76,16.5,2.7,,,,,
25-09-18,2018,Salmo trutta,95,9,1,Hinterleiten,Riffle,Lower,76,16.5,2.7,,,,,
25-09-18,2018,Salmo trutta,80,5,1,Hinterleiten,Riffle,Lower,76,16.5,2.7,,,,,
25-09-18,2018,Salmo trutta,70,4,1,Hinterleiten,Riffle,Lower,76,16.5,2.7,,,,,
25-09-18,2018,Salmo trutta,80,5,1,Hinterleiten,Riffle,Lower,76,16.5,2.7,,,,,
25-09-18,2018,Salmo trutta,86,7,1,Hinterleiten,Riffle,Lower,76,16.5,2.7,,,,,
25-09-18,2018,Salmo trutta,87,7,1,Hinterleiten,Riffle,Lower,76,16.5,2.7,,,,,
25-09-18,2018,Salmo trutta,88,7,1,Hinterleiten,Riffle,Lower,76,16.5,2.7,,,,,
